uid,grade,Generoustag,Consumetag,PriceSensitivity
1,2,4,9,3
2,0,4,7,5
3,2,1,0,2
4,3,1,6,4
5,1,2,4,0
6,4,6,2,8
7,0,6,4,9
8,0,6,8,0
9,0,7,4,9
10,0,10,2,8
11,1,7,8,4
12,0,3,1,5
13,0,5,6,3
14,2,6,3,5
15,0,4,5,0
16,0,8,8,7
17,0,3,9,8
18,0,5,1,7
19,3,4,8,5
20,4,6,5,1
21,0,5,2,5
22,4,8,7,2
23,0,2,6,3
24,1,4,3,7
25,0,1,5,6
26,0,1,8,9
27,1,9,0,2
28,1,2,4,9
29,0,9,5,6
30,2,2,8,4
31,3,0,5,4
32,2,2,8,4
33,1,6,3,10
34,0,6,3,2
35,0,2,8,8
36,0,6,0,5
37,0,9,7,2
38,0,6,4,9
39,0,1,1,7
40,0,8,8,4
41,0,7,3,7
42,0,4,1,8
43,0,8,10,1
44,0,5,7,1
45,0,8,6,5
46,1,7,4,1
47,0,4,2,8
48,0,4,8,3
49,0,7,9,3
50,0,9,3,3
51,0,8,2,9
52,1,10,3,4
53,0,6,0,2
54,0,9,4,7
55,0,6,1,3
56,1,2,8,2
57,0,0,4,7
58,2,8,1,7
59,0,2,6,7
60,3,5,9,1
61,0,0,4,10
62,3,7,3,8
63,0,8,3,8
64,0,7,5,6
65,0,1,9,4
66,0,10,7,9
67,1,7,2,3
68,0,10,0,1
69,1,10,2,2
70,0,3,6,6
71,1,6,7,6
72,0,5,8,7
73,0,9,4,5
74,0,3,9,9
75,0,4,0,10
76,2,9,5,9
77,0,9,5,9
78,4,7,4,5
79,0,4,6,9
80,0,7,2,3
81,0,2,1,3
82,0,7,7,9
83,0,5,6,10
84,0,10,2,1
85,1,4,5,7
86,0,8,1,4
87,0,7,9,3
88,2,0,5,1
89,0,6,8,9
90,0,8,5,5
91,0,8,6,9
92,3,1,6,6
93,2,9,8,2
94,0,8,6,2
95,3,9,2,6
96,4,9,9,2
97,2,7,7,9
98,0,10,5,6
99,0,0,5,7
100,0,4,5,3
