id,uid,positivenum,score,isphoto,term
1,1,11,5,0,天海新世纪号邮轮客服经理，您好。我是最近刚结束天海情人节行程的1095房客。我要为天海点个大大的赞??！服务意识，态度和行为都超级专业的团队。值得中国业界同行借鉴。建议在魔都剧场增放些电影。可以让参加不了太多剧烈新奇活动的老年人或宅人静静的也有个参与。比如好莱坞怀旧歌舞片啦，“雨中曲”等等脍炙人口的轻松经典。感谢天海团队！无论餐饮，客房服务等等都超级棒！一艘尊重百姓服务大众的好船
2,2,1,4.8,0,爸妈第一次出国，很放心，他们告诉我会很开心，我就心满意足了
3,3,4,4.9,0,服务非常好，不论走到哪都有外国朋友和我们主动打招呼，吃的也很好，我已坐过三次邮轮了，天海邮轮吃的是最适合我们中国人口味了，住的也很舒服，玩的也高兴，总之一切都好，下次还会选择天海新世纪
4,4,3,5,0,带爸妈一起，也是他们头一次走出国门，头一次看到大海，头一次看到国人的购买实力吓死人，呵呵，整个行程堪称养猪之旅，一直在吃，船上吃的不错，几天里面我没有吃腻，船上的节目也是不错的，每天都有不同的风格，船下形成选择了基本的跟团之旅，时间紧张，只能是走马观花了，基本是带你去购物点的，路上形成只能说凑活，不过这个性价比还是很高的，下次还会选择天海的
5,5,0,5,0,绝对没有辜负海上养猪场的称号，所有服务都要给一个大赞，一家四口很满意的旅行
6,6,0,4.3,1,整体都不错，就是在餐饮方面，自助餐的主食基本这6天都一样，西餐的龙虾和羊排都是没有味道的。
7,7,0,5,0,非常好，带老爸老妈去很轻松，下回有其他航线一定再去
8,8,0,4.8,0,总体可以的，以后还会选择邮轮旅游！
9,9,0,4.8,0,邮轮是亲子好选择但一次足矣天海性价比很高餐饮方面杠杠的玩乐属于一般哦三岁小孩的玩乐上面比较缺乏第一晚晕吐后面几天吃了药也有点习惯颠簸流离了
10,10,0,4.8,0,餐饮非常好，随时有餐，不用考虑饿的时候没有吃的。岸上游时间太紧张。
11,11,1,4.3,0,邮轮上的服务员都很好，态度不错，虽然娱乐设施少了点，下地时间也很赶，但毕竟邮轮没办法。船上吃的不错，住的也很干净，服务员一天打扫三次，唯一的缺点就是水质很差，漂白粉的味道，皮肤也过敏了！
12,12,0,5,0,带着两个孩子，不错的回忆，难得享受没有Wi-Fi的日子
13,13,1,5,1,非常不错的行程，船上的伙食很丰盛，娱乐活动搞得丰富精彩，服务人员服周到，以后还会再去
14,14,5,5,1,邮轮上无论是客房、餐厅，娛乐场所、儿童乐园，服务人员都很热情、友好。参加邮轮游确实是一种享受。比较遗憾的是上下码头及通关的时间太长，码头上乱轰轰的。另岸上乘车时地接社的导游和我方的领队没有提醒游客应让带小孩的和年大的人先上车。有些不文明的现象。
15,15,0,4.3,0,游轮上的服务员态度都很好，只是岸上的活动太赶时间了。
16,16,0,5,1,完美邮轮游！携一家老小，邮轮上活动很丰富，吃得也很丰盛！吃得好玩得好！邮轮服务人员赞赞赞！
17,17,2,4.3,1,客房服务非常好很有善也很帮忙11楼吃的还挺多的柠檬水好喝
18,18,7,4.3,1,性格比最好的邮轮，适合带父母朋友，适合初次坐邮轮的朋友，如果最求高大上选择量子，选择美食和清净的可选择公主号，赛琳娜号表演也不错西餐地道。
19,19,8,4.5,1,天海邮轮对服务品质的追求的确很高，各国员工和睦协作的工作氛围令我印象深刻！同时，面对以国内游客为主的顾客行为习惯，还能有这样的耐心，真是不容易！要好好照顾员工们的心理健康啊！
