uid,age
156,44
200,42
214,36
313,45
327,52
377,48
386,52
421,44
728,51
958,42
1006,44
1808,49
1862,46
2992,53
3040,48
3199,54
3446,46
3581,47
3789,68
3810,48
3851,52
3923,53
4099,51
4319,37
4468,44
4580,41
4751,43
4765,50
4779,46
5133,51
5188,47
5520,48
5593,45
5598,40
5697,43
5728,53
5971,41
6006,40
6024,38
6079,48
6317,12
6402,39
6731,50
6830,40
7000,39
7168,59
7271,43
7280,52
7361,38
7451,42
7519,44
7730,48
7785,45
7924,49
7929,47
8397,58
8482,43
8847,59
8879,39
8897,50
8964,43
8982,46
9125,64
9242,47
9323,55
9355,45
9391,48
9495,45
9503,42
9544,40
9562,44
9800,47
9864,36
9981,38
10010,37
10119,41
10141,38
10501,38
10858,47
11159,39
11168,41
11181,40
11271,41
11519,36
11578,54
11857,49
11965,52
12135,51
12446,41
12707,47
12851,42
13698,47
13873,37
13968,36
13977,47
15092,43
15105,40
15218,48
15259,56
15312,44
15380,48
15385,40
15470,57
15533,48
15551,47
15803,42
16069,26
16131,44
16195,45
16285,41
16294,50
16302,47
16348,58
16505,41
16528,65
16550,43
16587,62
16591,43
16681,64
16811,59
17009,39
17022,39
17045,44
17108,51
17135,60
17158,61
17162,46
17248,62
17261,37
17400,42
17531,38
17536,38
17662,48
17711,51
17793,45
17829,40
18530,46
18684,42
18814,47
18828,37
18918,39
19052,40
19084,40
19133,51
19188,44
19200,40
19237,45
19359,47
19377,41
19575,38
19719,33
20627,47
20730,40
20807,46
20816,59
20875,41
20942,44
21621,39
21798,45
21810,37
21937,43
21964,43
22193,51
22206,64
22229,45
22292,42
22373,52
22652,36
22850,44
22940,42
23075,44
23192,38
23197,44
23291,44
23589,33
23683,45
23773,51
23778,46
23782,39
23868,48
25113,53
25181,49
25221,43
25230,49
25663,26
25771,43
25785,48
25929,45
26004,38
26036,50
26117,39
26360,51
26432,39
26518,45
26559,58
26699,37
26892,45
27116,43
27341,54
27562,47
27846,42
27913,28
27940,48
27954,49
27972,51
28052,47
28160,40
28165,40
28228,45
28633,46
28683,44
28700,51
28728,44
28737,49
28769,47
28813,41
28818,40
28944,36
28976,38
29303,56
29588,27
29650,45
29817,39
29939,53
29943,37
30112,53
30531,39
30617,40
30630,52
31003,54
31495,40
32525,46
33083,48
33236,54
34145,44
34280,48
34749,46
35707,43
36477,38
36927,36
37561,38
38024,35
38498,40
38718,51
38795,46
38998,51
39230,37
39339,50
39343,61
39933,42
40783,50
41052,49
41854,33
41999,46
42164,53
42330,46
43311,44
43613,46
44081,53
44351,49
44428,48
44856,46
45076,47
45099,51
46048,47
46278,47
46408,44
46520,39
47038,34
47399,48
47678,53
47772,42
47830,53
47948,42
48028,44
48203,41
48226,61
48505,49
48780,44
48924,48
49059,65
49077,43
49090,42
49243,43
49333,46
49734,45
50516,54
50575,48
50688,48
50769,54
50886,53
50890,53
51263,40
51385,50
51885,50
51907,41
52190,52
52357,50
52992,77
53045,43
53072,58
53081,48
53130,39
53135,54
53149,45
53162,39
53216,63
53482,48
53491,50
53563,39
53568,49
53775,47
54116,45
54413,46
54567,44
54896,47
54922,51
55403,48
55462,43
55818,43
55863,44
55868,48
56001,45
56867,48
56961,51
57208,52
57433,50
58162,44
58216,59
58473,46
58801,47
59085,42
59828,36
60006,39
60033,37
60060,37
60173,47
60399,40
60510,39
60588,44
60867,43
61005,45
61037,50
61203,48
61235,53
61631,55
61695,50
61870,45
62036,38
62063,47
62072,39
62153,46
62167,49
62270,42
62360,37
62509,44
62725,42
62752,40
62770,43
62879,43
62923,38
63111,44
63125,40
63206,41
63210,47
63620,53
63657,37
63670,51
63689,50
63701,38
63751,42
63891,48
65781,37
65911,47
65939,42
67171,49
67630,39
67711,52
67833,58
67860,50
72297,38
72305,48
72535,40
72558,41
73782,42
73813,33
76590,44
77706,46
80509,43
80518,52
80563,40
80590,62
80676,51
80685,46
80982,54
82278,43
82930,47
86864,46
86922,48
87386,42
87566,52
87570,53
87868,48
88227,50
88722,57
88862,38
89073,59
89082,61
89208,17
89217,39
89221,37
89753,48
89960,38
90008,50
90210,46
90279,37
90305,65
90319,39
90792,40
90805,58
90837,38
90855,29
91075,40
91101,48
91831,42
91881,58
91890,47
91895,47
92006,41
92065,43
92632,53
92709,47
92871,51
92880,44
92885,50
93073,42
95030,38
95198,39
97182,44
98096,61
98375,44
98528,55
98578,42
98839,43
98861,43
99180,44
99199,52
99257,47
99518,47
99905,53
99955,40
99978,46
100218,45
100821,45
101172,44
101235,34
101578,54
102095,38
102261,40
102531,40
102568,38
102810,42
102973,37
103788,53
105380,36
105529,54
105597,60
105600,42
106028,53
106127,56
106230,41
106307,48
106311,41
107022,50
107383,39
107522,59
107757,51
108071,45
108099,47
108120,40
108166,43
108256,54
108378,53
108526,41
108602,46
109070,60
109098,42
109273,45
109516,47
109683,51
109908,44
110028,40
110091,53
110208,53
110276,46
110352,44
110668,44
110857,52
111293,34
111306,55
111815,60
111842,42
111996,49
112161,48
112297,53
112616,38
112666,36
112792,53
113156,44
113179,36
113809,50
115271,46
115523,50
116766,44
117008,53
117166,39
117558,64
117814,42
118098,46
118273,39
118570,45
118778,37
118809,42
119128,46
119650,42
119786,49
119894,33
120568,48
120883,41
121616,41
122700,58
122818,43
122967,40
122980,44
123033,43
123123,42
123169,45
125851,45
125991,51
126012,56
126017,48
126026,53
126161,47
126607,39
126805,44
126887,52
126909,47
126913,37
126959,45
126977,39
127129,50
127692,41
127728,37
127967,38
127980,46
127999,67
128001,40
129262,41
129889,51
131070,44
131237,42
131309,46
131313,43
131999,43
132038,41
132588,50
132795,44
132858,39
133168,50
133230,50
133708,39
135990,42
136822,50
136877,37
137263,48
137786,41
138988,43
139126,47
139838,47
139888,44
150231,49
150880,59
153779,50
153882,47
153968,39
155056,46
155600,47
156078,76
156226,46
156776,40
158611,48
158760,53
159228,42
159377,42
159507,39
159511,36
159953,45
159999,40
160159,46
160807,54
161667,39
161680,48
161699,46
161739,49
161770,41
161856,36
162913,42
162977,42
162986,37
163728,48
163755,45
163782,48
163809,58
165181,68
165226,40
165280,47
165299,59
165302,47
165366,47
165398,39
165500,38
165555,39
165578,48
166077,53
166171,50
166176,50
166202,53
166590,42
166937,44
167161,45
168688,40
169259,45
171535,46
171558,37
171567,46
171576,44
171670,46
171693,42
171698,38
171738,38
171800,48
172368,47
172377,40
172787,62
172813,45
172859,42
173380,38
173673,37
173682,49
175595,51
175950,43
175991,46
176116,43
176198,39
176328,42
176337,40
176508,43
176553,43
176666,36
176909,39
177755,39
177791,43
177822,42
177935,44
177999,53
178303,45
178358,43
178538,41
178565,50
178673,43
178727,46
178786,48
179681,42
179933,41
180021,59
180085,40
180251,49
180297,47
180319,42
180576,60
181151,48
181818,43
183343,58
185076,54
185328,41
185855,44
186363,37
186507,59
187259,54
188271,55
188537,43
188587,48
189220,42
189383,48
189757,47
189888,48
190066,50
190386,53
190552,50
190679,37
190700,39
191673,46
191899,42
191939,41
192000,46
192055,44
192163,37
192258,37
192280,61
192726,34
192807,40
192852,44
193018,48
193081,45
193577,40
193617,49
193676,46
193757,38
193860,49
195007,39
195129,38
195665,41
195692,40
195700,44
195827,48
195836,46
195908,39
195917,46
195971,44
196092,43
196277,48
196371,47
196380,58
197000,39
197037,41
197578,46
197857,46
197929,38
198031,41
198068,40
198293,38
198306,48
198383,43
199193,49
199657,39
199661,38
199698,40
199855,53
199918,47
199986,37
200032,37
200190,55
200636,44
200668,44
200811,42
201103,31
201810,44
201860,34
201888,40
201982,43
202008,45
202017,46
202198,48
202508,48
202620,34
202891,57
203098,42
203322,54
203386,45
203502,37
203660,41
203665,48
203683,48
203723,50
203750,44
203890,44
203921,46
205109,47
205375,58
205519,49
205618,43
205659,45
205767,46
205771,45
205852,44
206081,38
206108,37
206667,41
206798,43
206932,66
207170,34
207300,38
207328,41
207382,39
207576,40
207913,37
208066,41
208160,40
208598,52
208926,44
209079,44
209281,40
209321,39
209335,44
209399,39
210130,44
210699,45
211125,45
211878,45
211931,44
211968,46
212066,54
212200,57
212327,42
213218,43
213268,52
213722,48
215153,43
215171,39
215775,68
216995,44
217002,48
217052,63
217197,58
217269,59
217318,78
217520,54
217570,53
217732,50
217769,51
217787,61
217868,45
218321,52
218556,40
219316,41
225288,35
226011,39
226601,53
226868,41
226999,39
227321,44
227579,38
227925,51
228712,46
228799,59
229577,40
229829,46
229892,41
237622,40
238973,51
239062,48
250032,53
251559,63
251725,42
252107,69
252599,40
252710,43
255582,53
256036,42
256680,43
257166,45
257530,39
258601,38
258791,48
259182,47
259795,43
259821,70
260829,55
261396,34
262011,60
262363,45
262589,35
262796,35
263876,65
265798,47
267291,41
269028,47
269370,34
269753,49
270076,45
271589,52
271813,44
273131,35
279180,37
279360,42
279577,43
282028,52
285228,62
285836,49
287523,48
287695,46
290227,36
290272,47
291875,39
293968,37
300081,46
301319,35
305388,45
305595,66
305707,44
307011,37
308858,45
312556,46
313591,56
323577,47
325002,37
325192,42
325782,47
325868,40
325912,54
326029,38
326038,52
326056,43
326678,44
327181,41
327500,43
328577,45
328897,43
329099,48
329580,52
329670,41
330128,46
330592,45
330619,41
331898,51
332086,48
332266,47
332298,51
332739,46
333071,50
333251,43
333350,42
333805,43
336005,50
336311,50
338535,46
338571,38
338689,45
339692,41
339926,53
350077,37
350103,54
350225,40
350306,40
350392,40
350603,38
350617,53
350897,55
351099,41
351116,44
351198,64
351350,45
352151,41
353097,37
353628,46
353790,37
355298,42
355568,44
355996,42
356292,33
356300,40
357971,48
358178,50
358385,40
359186,48
360030,46
360238,47
360797,53
360837,44
361020,52
361502,45
362998,52
363910,41
365152,49
365909,49
366570,49
366589,44
366872,45
366912,51
367173,30
367533,38
367600,44
368500,40
368758,55
369270,51
369801,43
370156,47
372816,55
375651,37
375728,46
375881,66
375886,48
376079,50
376155,43
376281,50
376916,52
377500,51
377505,50
378158,62
378860,48
378991,49
379102,53
379120,60
379198,39
379959,45
380137,40
380858,42
381055,40
381208,42
382829,43
383553,60
383562,55
383580,44
385303,49
385358,50
386569,35
387225,40
387581,48
387900,43
388369,49
390087,49
390190,43
390195,47
390573,46
392625,44
393066,44
393205,45
393327,50
393773,43
393818,36
395177,44
395500,53
395573,38
395578,53
395596,46
395636,38
395690,46
395703,40
395785,50
395839,37
395893,45
395906,40
396013,44
396077,46
396117,44
396158,36
396522,61
396586,38
396775,41
396888,47
396987,46
397076,47
397099,44
397198,41
397779,38
398098,41
398101,46
398318,36
398723,41
398728,42
398750,40
398791,40
398827,46
398877,43
398895,43
399010,38
399501,41
500025,34
500282,52
500539,42
501173,42
501196,37
501236,43
501786,45
501790,51
501808,39
501830,39
501966,50
501998,56
502005,53
502032,45
502113,40
502118,46
502122,39
502127,56
502163,53
502172,43
502299,38
503108,46
503388,41
503536,45
505025,34
505372,63
505511,51
506696,44
506902,42
507028,48
507389,65
507631,45
507807,47
507938,61
508086,40
508108,43
508635,41
508667,40
508711,50
508874,32
509292,38
509585,48
509599,36
509675,39
509788,40
509986,59
510079,43
510718,36
510795,42
512095,41
512883,46
512897,40
512950,52
512969,52
512982,61
513053,38
513193,44
513337,38
513355,32
513611,39
513620,37
513896,42
515150,47
515867,42
516569,45
518666,44
518986,63
521068,47
521199,53
521676,35
522715,53
523732,46
523778,51
523912,41
525163,48
526036,46
526108,43
526202,54
526586,47
527300,51
527715,43
528115,36
528228,43
528318,50
531026,35
531062,50
531571,51
532039,34
532219,38
532228,51
533777,46
533957,46
533970,37
535667,44
536193,41
536535,45
537615,41
538989,35
550688,48
551321,41
551687,42
552366,42
553013,49
553711,53
555133,39
555566,53
555917,62
556592,42
556600,41
556623,44
556812,47
557078,46
557717,39
558135,61
558158,51
558559,54
558761,63
558888,53
559265,43
562518,37
565998,47
566500,33
575979,39
578507,41
578516,42
580009,42
580180,51
580185,44
580266,54
580298,44
580301,73
580838,47
580851,51
580860,45
580900,54
582011,42
585220,35
587552,44
588380,40
589055,46
589069,48
589717,44
589780,39
589802,49
590099,51
590157,48
590166,41
590189,44
590369,43
590783,50
590963,48
591331,39
591728,49
591769,46
591822,36
591836,52
592736,64
593069,45
593131,41
593550,49
595319,37
595710,47
595828,41
595855,38
597222,38
597722,50
598000,46
598258,37
598825,54
598852,49
599068,39
599568,39
600533,53
600655,48
602527,44
606285,50
607937,48
608508,69
611121,43
611707,37
611900,38
613651,52
613688,39
615195,41
617076,56
618188,56
618886,42
619056,46
619083,46
619100,38
619119,57
619132,41
619358,50
619803,35
619830,46
621017,56
621670,53
621918,43
622250,41
622917,52
626611,43
627133,52
627962,46
629028,47
629889,46
631958,39
632650,54
633087,53
633221,47
635139,42
635292,46
635562,48
635666,46
635670,52
637137,38
637218,47
638131,46
638285,46
652135,49
652158,45
652699,38
655218,55
655371,42
656695,45
656758,46
657351,37
657798,35
663237,42
663336,54
663818,40
663872,42
663958,54
665073,34
665186,58
665785,61
666158,48
666333,57
667193,53
667369,46
669885,41
670266,39
670612,47
670856,57
670897,43
672007,61
672570,48
675897,37
677818,58
678001,45
678272,44
678510,56
678650,46
678998,51
679055,43
679172,53
680080,41
680256,39
681818,39
682010,47
685300,40
685986,52
685995,42
686205,39
687308,46
687592,44
689392,53
690700,47
691678,35
691952,40
691961,58
692050,55
692587,48
692708,46
693252,33
693338,43
693653,47
697730,54
697893,39
698072,41
698202,40
698702,38
698707,43
699283,46
699580,46
699652,46
699666,54
701581,44
703273,39
705609,40
705695,41
706536,37
706829,61
707111,38
707657,60
708660,37
710013,53
710892,36
712723,37
712787,52
712791,53
713880,44
716373,54
717665,53
717697,58
720233,35
720283,55
720292,49
720305,54
721269,49
721336,79
721593,52
721818,43
722001,47
722155,41
722286,41
722295,44
722385,54
723672,35
723929,45
